ticker,name,sector
7203.T,Toyota Motor,Automoción
6758.T,Sony Group,Tecnología
8306.T,Mitsubishi UFJ Financial,Financiero
9432.T,NTT,Telecomunicaciones
8035.T,Tokyo Electron,Tecnología
7974.T,Nintendo,Media
6861.T,Keyence,Tecnología
9984.T,SoftBank Group,Tecnología
4519.T,Chugai Pharmaceutical,Salud
6367.T,Daikin Industries,Industrial
8316.T,Sumitomo Mitsui Financial,Financiero
7267.T,Honda Motor,Automoción
9433.T,KDDI,Telecomunicaciones
4063.T,Shin-Etsu Chemical,Materiales
6981.T,Murata Manufacturing,Tecnología
8411.T,Mizuho Financial Group,Financiero
4502.T,Takeda Pharmaceutical,Salud
6954.T,Fanuc,Industrial
7751.T,Canon,Tecnología
5108.T,Bridgestone,Automoción
6645.T,Omron,Industrial
9020.T,East Japan Railway,Transporte
2802.T,Ajinomoto,Consumo básico
4911.T,Shiseido,Consumo básico
6503.T,Mitsubishi Electric,Industrial
7011.T,Mitsubishi Heavy Industries,Industrial
8058.T,Mitsubishi Corporation,Diversificado
8031.T,Mitsui & Co.,Diversificado
9022.T,Central Japan Railway,Transporte
1925.T,Daiwa House Industry,Construcción
