ticker,name,sector
MMM,3M,Industriales
AOS,A. O. Smith,Industriales
ABT,Abbott Laboratories,Salud
ABBV,AbbVie,Salud
ACN,Accenture,Tecnología
ADBE,Adobe Inc.,Tecnología
AMD,Advanced Micro Devices,Tecnología
AES,AES Corporation,Utilities
AFL,Aflac,Finanzas
A,Agilent Technologies,Salud
APD,Air Products,Materiales
ABNB,Airbnb,Consumo discrecional
AKAM,Akamai Technologies,Tecnología
ALB,Albemarle Corporation,Materiales
ARE,Alexandria Real Estate Equities,Inmobiliario
ALGN,Align Technology,Salud
ALLE,Allegion,Industriales
LNT,Alliant Energy,Utilities
ALL,Allstate,Finanzas
GOOGL,Alphabet Inc. (Class A),Comunicaciones
GOOG,Alphabet Inc. (Class C),Comunicaciones
MO,Altria,Consumo básico
AMZN,Amazon,Consumo discrecional
AMCR,Amcor,Materiales
AEE,Ameren,Utilities
AEP,American Electric Power,Utilities
AXP,American Express,Finanzas
AIG,American International Group,Finanzas
AMT,American Tower,Inmobiliario
AWK,American Water Works,Utilities
AMP,Ameriprise Financial,Finanzas
AME,Ametek,Industriales
AMGN,Amgen,Salud
APH,Amphenol,Tecnología
ADI,Analog Devices,Tecnología
AON,Aon plc,Finanzas
APA,APA Corporation,Energía
APO,Apollo Global Management,Finanzas
AAPL,Apple Inc.,Tecnología
AMAT,Applied Materials,Tecnología
APP,AppLovin,Tecnología
APTV,Aptiv,Consumo discrecional
ACGL,Arch Capital Group,Finanzas
ADM,Archer Daniels Midland,Consumo básico
ARES,Ares Management,Finanzas
ANET,Arista Networks,Tecnología
AJG,Arthur J. Gallagher & Co.,Finanzas
AIZ,Assurant,Finanzas
T,AT&T,Comunicaciones
ATO,Atmos Energy,Utilities
ADSK,Autodesk,Tecnología
ADP,Automatic Data Processing,Industriales
AZO,AutoZone,Consumo discrecional
AVB,AvalonBay Communities,Inmobiliario
AVY,Avery Dennison,Materiales
AXON,Axon Enterprise,Industriales
BKR,Baker Hughes,Energía
BALL,Ball Corporation,Materiales
BAC,Bank of America,Finanzas
BAX,Baxter International,Salud
BDX,Becton Dickinson,Salud
BRK-B,Berkshire Hathaway,Finanzas
BBY,Best Buy,Consumo discrecional
TECH,Bio-Techne,Salud
BIIB,Biogen,Salud
BLK,BlackRock,Finanzas
BX,Blackstone Inc.,Finanzas
XYZ,"Block, Inc.",Finanzas
BK,BNY Mellon,Finanzas
BA,Boeing,Industriales
BKNG,Booking Holdings,Consumo discrecional
BSX,Boston Scientific,Salud
BMY,Bristol Myers Squibb,Salud
AVGO,Broadcom,Tecnología
BR,Broadridge Financial Solutions,Industriales
BRO,Brown & Brown,Finanzas
BF-B,Brown–Forman,Consumo básico
BLDR,Builders FirstSource,Industriales
BG,Bunge Global,Consumo básico
BXP,"BXP, Inc.",Inmobiliario
CHRW,C.H. Robinson,Industriales
CDNS,Cadence Design Systems,Tecnología
CPT,Camden Property Trust,Inmobiliario
CPB,Campbell's Company (The),Consumo básico
COF,Capital One,Finanzas
CAH,Cardinal Health,Salud
CCL,Carnival,Consumo discrecional
CARR,Carrier Global,Industriales
CVNA,Carvana,Consumo discrecional
CASY,Casey's,Consumo básico
CAT,Caterpillar Inc.,Industriales
CBOE,Cboe Global Markets,Finanzas
CBRE,CBRE Group,Inmobiliario
CDW,CDW Corporation,Tecnología
COR,Cencora,Salud
CNC,Centene Corporation,Salud
CNP,CenterPoint Energy,Utilities
CF,CF Industries,Materiales
CRL,Charles River Laboratories,Salud
SCHW,Charles Schwab Corporation,Finanzas
CHTR,Charter Communications,Comunicaciones
CVX,Chevron Corporation,Energía
CMG,Chipotle Mexican Grill,Consumo discrecional
CB,Chubb Limited,Finanzas
CHD,Church & Dwight,Consumo básico
CIEN,Ciena,Tecnología
CI,Cigna,Salud
CINF,Cincinnati Financial,Finanzas
CTAS,Cintas,Industriales
CSCO,Cisco,Tecnología
C,Citigroup,Finanzas
